country,year,gdp_growth,inflation,current_account_gdp,external_debt_gni,foreign_reserves_months,trade_balance_gdp,unemployment,real_interest_rate,broad_money_growth
Kenya,2011,5.1211061197056,14.0224913014704,-8.14880935200662,23.9314455090232,3.05887618096078,-15.3032518329067,2.699,4.52618583226899,19.1520541858486
Kenya,2012,4.56867961444982,9.37777003547598,-7.47587166159348,23.5760157767792,3.68947261189705,-11.8937965774814,2.678,9.31351134458285,14.3923227362879
Kenya,2013,3.7978483925754,5.71749357037733,-7.85152228564967,25.277644789086,4.117937395654,-11.8802814063994,2.762,9.29394635969952,15.2783251317678
Kenya,2014,5.02011100232484,6.87815499275949,-9.34004850596924,27.916456980179,4.36592170439433,-13.2248804305914,2.767,8.24907899217325,26.5212626467094
Kenya,2015,4.96772112759767,6.58215429284779,-6.30459656347733,31.3058278228131,4.85820155529876,-10.0699168850011,2.762,6.26880578270388,16.0698098990173
Kenya,2016,4.21351706814744,6.29724953814625,-5.3970086381703,28.5315668521598,5.24445206958816,-8.36552997183063,2.757,10.1181287134987,3.89041034386153
Kenya,2017,3.83795817364721,8.00564967709945,-6.99683322084958,33.4901470475528,4.22919808384003,-10.5217379926624,3.542,5.65674761585908,9.00832756301999
"Korea, Rep.",1990,10.0248996213899,8.57327225728677,-0.960131298063108,,2.32180625211208,-0.853213592204829,,,17.1741698553492
"Korea, Rep.",1991,10.8749739277708,9.33279048161495,-2.35688840135155,,1.83932275079553,-2.31476499300502,2.407,,21.8874213149947
"Korea, Rep.",1992,6.35159199606441,6.21328146355184,-0.79068728488668,,2.25508362112236,-0.684268185648941,2.513,,14.9415254257527
"Korea, Rep.",1993,6.99471791742556,4.80099660215354,0.416090198515083,,2.53421136398603,0.295933213735821,2.878,,16.5807350400535
"Korea, Rep.",1994,9.3718357757101,6.26585950039679,-1.00035102707401,,2.61642803792074,-0.727850583615544,2.476,,18.6773909254307
"Korea, Rep.",1995,9.7358937505409,4.48074108557248,-1.74482962406712,,2.49162519314958,-1.21502802711532,2.063,,15.5931841953706
"Korea, Rep.",1996,7.99042982526839,4.92454354292754,-3.87535195507046,,2.30980927061515,-3.31150973554085,2.048,6.81075611229248,15.8277442341608
"Korea, Rep.",1997,6.2821926537929,4.4389318457463,-1.83493782106041,,1.39905230868822,-0.949166996727933,2.608,7.71806095927101,14.1437236837087
"Korea, Rep.",1998,-4.9389297463141,7.51358008079307,10.0964211010999,,5.14613795652844,10.1447968693229,6.963,10.3168076677618,27.0261851359618
"Korea, Rep.",1999,11.6172629559591,0.81295725444637,4.22430160551507,,6.02012281185595,5.12966478667257,6.342,10.8949040050841,27.3766401341697
"Korea, Rep.",2000,9.2018583880479,2.25916580080157,1.7039361599544,,5.81220374170108,1.66978772372385,4.063,7.54111863718284,25.4257746478018
"Korea, Rep.",2001,4.72593560322356,4.06657587897792,0.381489475071825,,6.81867907289459,1.29800739187832,3.699,4.02519600370863,85.2030807974552
"Korea, Rep.",2002,7.74399895319569,2.76226210296599,0.625539996245813,,7.55038951610631,1.06928534204662,3.046,3.64966247633618,13.9998911970542
"Korea, Rep.",2003,3.07472661826947,3.51487451459939,1.55223664563709,,8.33289295687719,1.4652050095921,3.348,2.57995467101811,2.98069024193587
"Korea, Rep.",2004,5.1836368597334,3.59066298882578,3.55783305096389,,8.54332338799098,3.29279711964965,3.42,2.55986121207347,6.30831998688382
"Korea, Rep.",2005,4.35823667337156,2.75379162735039,1.25636444462509,,7.61490774363077,2.08487849630543,3.482,4.40527011082801,6.98905937684345
